Date,EUR/HUF,BUBOR 3-MO,EURIBOR 3-MO,50%RMAX+50%ZMAX,ESTER
2021-08-26,1.48,0,0,0,-0.006
2021-08-27,1.9,0,0,-0.005,0
2021-08-30,-2.48,-0.01,0,0.005,0.002
2021-08-31,0.23,0,0,-0.005,-0.002
2021-09-01,-0.05,0,0,-0.04,0.001
2021-09-02,-1.28,0,0,-0.125,0
2021-09-03,1.34,0,0,-0.06,0.001
2021-09-06,-1.08,0,0,0.045,-0.001
2021-09-07,0.38,0,0.01,0,0
2021-09-08,2.05,0,0,-0.03,0
2021-09-09,1.52,-0.03,0,0.025,-0.001
2021-09-10,-0.26,0,0,0.045,0
2021-09-13,-1.33,0.01,0,0.005,-0.001
2021-09-14,-0.05,0.02,-0.01,0,0.003
2021-09-15,-0.23,0,0.01,0.01,-0.005
2021-09-16,-0.59,0.01,-0.01,0,0.006
2021-09-17,2.52,0.01,0,-0.015,-0.004
2021-09-20,2.33,0.02,0,0.03,0.005
2021-09-21,-0.86,0.02,0,0.01,-0.005
2021-09-22,1.41,0.06,0.01,-0.005,0.005
2021-09-23,1.09,0.02,0,0.02,-0.004
2021-09-24,1.29,0.02,0,0.035,0.001
2021-09-27,1.03,0.01,0,0.005,-0.002
2021-09-28,1.7,0.01,0,0,-0.002
2021-09-29,0.06,-0.01,0,0,0.001
2021-09-30,1.05,-0.01,-0.01,0.015,-0.008
2021-10-01,-1.31,0,0,-0.04,0.009
2021-10-04,-3,0.01,0,-0.05,0.002
2021-10-05,0.84,0.02,0,0,0
2021-10-06,2.82,0.01,0,-0.005,0
2021-10-07,-1.45,0.01,0,0.02,0.001
2021-10-08,1.04,0.01,0,-0.005,0
2021-10-11,2.12,0.01,0,-0.005,-0.002
2021-10-12,-1.69,0.01,0,0.005,0.008
2021-10-13,0.45,0.01,0,0,-0.007
2021-10-14,-0.57,0,0,0.015,-0.001
2021-10-15,-0.01,0.01,0,-0.005,-0.002
2021-10-18,1.1,0.01,0,0,-0.002
2021-10-19,-0.87,0.02,0,0,0.001
2021-10-20,2.89,0.08,0,-0.005,0.002
2021-10-21,-1.23,0.01,0,0,-0.002
2021-10-22,1.59,0.02,0,0,0.004
2021-10-25,1.22,0,0,0.005,-0.002
2021-10-26,0.9,0.02,0,0.005,0.001
2021-10-27,-0.02,0,-0.01,0.005,-0.003
2021-10-28,-1.5,0.01,0,0,0
2021-10-29,-3.04,0.01,0.01,-0.01,-0.005
2021-11-02,-0.58,0.01,-0.02,0,0.009
2021-11-03,-1.13,0,0,-0.01,-0.005
2021-11-04,1.1,0.01,0,0.005,0.001
2021-11-05,-0.31,0,0,-0.075,0.001
2021-11-08,-0.01,0.01,0,0.005,-0.003
2021-11-09,2.36,0.02,0,-0.05,0
2021-11-10,-0.7,0.02,0,-0.09,-0.001
2021-11-11,3.62,0.04,0.01,-0.245,0.001
2021-11-12,0.28,0.03,0,-0.02,0.003
2021-11-15,1.65,0.04,0,-0.12,0.003
2021-11-16,-1.44,0.04,0,0.025,-0.002
2021-11-17,-0.4,0.19,-0.01,-0.02,0
2021-11-18,-1.58,0.06,0.01,-0.065,0
2021-11-19,1.37,0.21,0,0,-0.002
2021-11-22,4.83,0.06,0,-0.025,0
2021-11-23,1.49,0.11,-0.01,-0.075,-0.001
2021-11-24,-3.06,0.08,-0.01,0.035,0.004
2021-11-25,-1.6,0.32,0,0.005,-0.003
2021-11-26,1,0.03,0.01,0,0
2021-11-29,0.94,0.02,0,0,0
2021-11-30,-1.8,-0.01,0,0.005,-0.002
2021-12-01,-2.48,0.03,0,0.015,0.001
2021-12-02,-2.13,0.09,0,-0.005,-0.001
2021-12-03,1.29,0.02,0.01,0.02,-0.003
2021-12-06,0.43,0.02,0,0.03,0
2021-12-07,1.71,0.01,0,0.015,0.001
2021-12-08,1.97,0.02,-0.01,0.005,0
2021-12-09,-1.77,0.13,-0.02,0.025,-0.001
